jammer,jsr_db,target_position,mode,trials,interface_pass,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,target_only_change_min_db,detected_after_mean,peak_error_after_mean,false_peak_after_mean,normalized_output_difference_mean,filter_coefficient_difference_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,10.0,1250,offset_+2,20,20,0,16.624069461111006,0.42421600822215305,0.1859208629795554,-1.188619231516971,-1.1886192315169712,1.0,2.0,491.55,0.37158702654673065,1.6057022577815663,0.018645846284925938,400000000.0
AMNoiseGaiJam,10.0,1250,offset_+32,20,20,0,-14.46899235877795,0.42421600822215694,0.1859208629795571,-60.90086154434167,-60.90086154434165,0.0,32.0,486.7,1.0117900880073827,1.4209607876364,0.019935501040890813,400000000.0
AMNoiseGaiJam,10.0,1250,offset_+4,20,20,0,16.474610866061774,0.4242160082221499,0.185920862979554,-4.868838735280629,-4.868838735280628,1.0,4.0,488.2,0.6827962113243444,1.7948367812882602,0.019000045722350478,400000000.0
AMNoiseGaiJam,10.0,1250,offset_+8,20,20,0,15.579858873827746,0.42421600822170147,0.1859208629793575,-24.77015269320042,-24.770152693200416,1.0,8.0,489.25,1.0034326806402452,1.3611162698384054,0.018777046352624893,400000000.0
AMNoiseGaiJam,10.0,1250,offset_-1,20,20,0,16.62793500708316,0.4242160082221517,0.18592086297955482,-0.3035923747676373,-0.30359237476763723,1.0,1.0,492.1,0.1908040014124452,1.7761505289286288,0.018999847816303372,400000000.0
AMNoiseGaiJam,10.0,1250,offset_-16,20,20,0,5.812133252402274,0.4242160082221185,0.18592086297954025,-28.5297185319765,-28.529718531976496,0.0,16.0,496.4,0.9925410890948324,1.298350632869114,0.01899789785966277,400000000.0
AMNoiseGaiJam,10.0,1250,offset_-2,20,20,0,16.624069461111013,0.42421600822215233,0.18592086297955507,-1.188619231516971,-1.1886192315169712,1.0,2.0,493.1,0.36702552511711356,1.6057022577815663,0.018756164354272187,400000000.0
AMNoiseGaiJam,10.0,1250,offset_-32,20,20,0,-14.468992358778005,0.4242160082221532,0.18592086297955548,-60.90086154434166,-60.90086154434164,0.0,32.0,498.75,1.0085465771556215,1.4209607876364,0.019091647118330002,400000000.0
AMNoiseGaiJam,10.0,1250,offset_-4,20,20,0,16.47461086606181,0.424216008222152,0.18592086297955493,-4.868838735280629,-4.868838735280628,1.0,4.0,489.65,0.666682934599194,1.7948367812882602,0.018956197891384363,400000000.0
AMNoiseGaiJam,10.0,1250,offset_-8,20,20,0,15.57985887383104,0.4242160082220923,0.18592086297952878,-24.77015269320042,-24.770152693200416,1.0,8.0,493.3,0.9742128263857623,1.3611162698384054,0.018906299374066293,400000000.0
AMNoiseGaiJam,10.0,1250,random,20,20,11,-199.97091091865727,146.24834995650127,64.09616541158339,-104.1076089918767,-126.6771315657612,0.15,1397.65,276.9,1.001134500403809,1.407624122522626,0.018787503358907998,400000000.0
AMNoiseGaiJam,10.0,1250,true,20,20,0,16.62518001966628,0.42421600822215344,0.18592086297955557,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,492.0,0.0,0.0,0.020545802544802427,400000000.0
AMNoiseGaiJam,10.0,2500,fixed_0,20,20,20,nan,0.0,0.0,nan,nan,0.0,2500.0,0.0,0.9999999999999719,1.4142135623730503,0.018916709814220667,400000000.0
AMNoiseGaiJam,10.0,2500,missing,20,20,20,nan,0.0,0.0,nan,nan,0.0,2500.0,0.0,0.9999999999999719,1.4142135623730503,0.018816653755493462,400000000.0
AMNoiseGaiJam,10.0,2500,offset_+1,20,20,0,16.645651544316934,0.42315251358596595,0.18545476590471213,-0.3035923747676373,-0.30359237476763723,1.0,1.0,271.8,0.19191986121370347,1.7761505289286288,0.018910394283011556,400000000.0
AMNoiseGaiJam,10.0,2500,offset_+16,20,20,0,5.829849789635906,0.4231525135857984,0.18545476590463872,-28.529718531976492,-28.529718531976492,0.0,16.0,271.2,0.9937810889397373,1.298350632869114,0.018739595543593168,400000000.0
AMNoiseGaiJam,10.0,2500,offset_+2,20,20,0,16.641785998344787,0.4231525135859682,0.1854547659047131,-1.188619231516971,-1.1886192315169712,1.0,2.0,272.95,0.37158702654673065,1.6057022577815663,0.018866697791963816,400000000.0
AMNoiseGaiJam,10.0,2500,offset_+32,20,20,0,-14.451275821544167,0.42315251358597195,0.18545476590471474,-60.90086154434167,-60.90086154434165,0.0,32.0,269.4,1.0117900880073827,1.4209607876364,0.018937501590698957,400000000.0
AMNoiseGaiJam,10.0,2500,offset_+4,20,20,0,16.492327403295555,0.4231525135859664,0.18545476590471233,-4.868838735280628,-4.868838735280626,1.0,4.0,272.95,0.6827962113243444,1.7948367812882602,0.019045898807235062,400000000.0
AMNoiseGaiJam,10.0,2500,offset_+8,20,20,0,15.597575411061523,0.423152513585506,0.18545476590451054,-24.77015269320042,-24.770152693200416,1.0,8.0,270.75,1.0034326806402452,1.3611162698384054,0.018971043755300343,400000000.0
AMNoiseGaiJam,10.0,2500,offset_-1,20,20,0,16.64565154431694,0.4231525135859683,0.18545476590471313,-0.3035923747676373,-0.30359237476763723,1.0,1.0,274.45,0.1908040014124452,1.7761505289286288,0.01912490406539291,400000000.0
AMNoiseGaiJam,10.0,2500,offset_-16,20,20,0,5.8298497896360555,0.4231525135859347,0.18545476590469845,-28.5297185319765,-28.529718531976496,0.0,16.0,275.3,0.9925410890948324,1.298350632869114,0.0190957507584244,400000000.0
AMNoiseGaiJam,10.0,2500,offset_-2,20,20,0,16.641785998344794,0.42315251358596845,0.18545476590471321,-1.188619231516971,-1.1886192315169712,1.0,2.0,274.35,0.36702552511711356,1.6057022577815663,0.0188645557500422,400000000.0
AMNoiseGaiJam,10.0,2500,offset_-32,20,20,0,-14.451275821544224,0.4231525135859704,0.18545476590471408,-60.90086154434166,-60.90086154434164,0.0,32.0,279.45,1.0085465771556215,1.4209607876364,0.019131338922306895,400000000.0
