jammer,jsr_db,seed,target_position,position_policy,fixture_label_physical,fixture_label_stress,physical_received_energy_error_db,stress_received_energy_error_db,physical_target_energy_error_db,stress_target_energy_error_db,physical_noise_energy_error_db,stress_noise_energy_error_db,physical_jammer_energy_error_db,stress_jammer_energy_error_db,physical_measured_jsr_db,stress_received_finite
NoiseProductJamming,20.0,6102,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.03317329700643504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6102,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.030678994375960812,-0.004144431686103198,0.0,0.0,0.0,-0.9293301522333303,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6102,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.01863353739505511,-0.008577387148038093,0.0,0.0,0.0,-2.2075615365975465,9.64327466553287e-16,9.64327466553287e-16,20.0,True
NoiseProductJamming,20.0,6102,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.03384741860002145,-0.010813414834928693,0.0,0.0,0.0,-3.0298073206318565,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6103,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.008500969554806767,-0.0021462941778311634,0.0,0.0,0.0,-0.46699289844412345,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6103,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.01420357268640306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6103,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.011747251609493413,-0.0041968941061156905,0.0,0.0,0.0,-0.9653377529300979,-9.643274665532871e-16,-9.643274665532871e-16,19.999999999999996,True
NoiseProductJamming,20.0,6103,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.00498277230074229,-0.008648255970884054,0.0,0.0,0.0,-2.295068778705083,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6103,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.004532812113894262,-0.010638652693662359,0.0,0.0,0.0,-3.052591789404139,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6104,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.07870188223536426,-0.002252070461696589,0.0,0.0,0.0,-0.5019022267490246,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6104,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.07762862161944213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6104,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.07458257302311089,-0.004025517040984222,0.0,0.0,0.0,-0.9422780784138575,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6104,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.07819037773434277,-0.008001213683748789,0.0,0.0,0.0,-2.1289146572041338,-9.643274665532871e-16,-9.643274665532871e-16,20.0,True
NoiseProductJamming,20.0,6104,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.07390637041580661,-0.010175669447507574,0.0,0.0,0.0,-2.9471932930027327,0.0,0.0,20.0,True
NoiseProductJamming,30.0,6100,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.011937278322921583,-0.00022060740901604054,0.0,0.0,0.0,-0.4536172142801617,9.64327466553287e-16,9.64327466553287e-16,30.0,True
NoiseProductJamming,30.0,6100,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.008424997902775327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,True
NoiseProductJamming,30.0,6100,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.006999590587886689,-0.00042520314865561145,0.0,0.0,0.0,-0.9213522413999027,0.0,0.0,30.0,True
NoiseProductJamming,30.0,6100,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.006975844754890339,-0.0008826034953907199,0.0,0.0,0.0,-2.1951402695838955,9.64327466553287e-16,9.64327466553287e-16,30.0,True
