Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanReferenceResponseVsClean_dB,MeanTargetOnlyResponseChange_dB,TargetOnlyResponseChange_std_dB,TargetOnlyResponseChange_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
SMSP,FDC,10.0,20,1.0,0.15,0.15,-7.105427357601002e-16,1.4580029302424496e-15,6.389979580295362e-16,1.05,1.05,0.5,0.5,-9.112894558928567e-15,-1.315507885816207,-8.678947198979587e-15,0.0,0.0,0.16055889229418857,0.880027050152421,Neutral
SMSP,adapt_filter,10.0,20,1.0,0.15,1.0,23.89101156519404,0.05775306982736467,0.02531139884848277,1.05,1.0,0.5,447.4,-0.9326023404510029,-2.093394649892709,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,47.33034380769823,Blocked oracle-risk
SMSP,FrFT,10.0,20,1.0,0.15,0.0,0.6926445886444377,0.03418185268486662,0.01498085745524811,1.05,1.65,0.5,0.45,-0.3881304383698458,-1.7407131236966848,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,72.89389789802954,Harmful/Not demonstrated
SMSP,qpzh,10.0,20,1.0,0.15,1.0,3.521449331189884,0.06996325936697274,0.03066275035891199,1.05,2.05,0.5,0.5,0.41328949432521717,-1.3052283748778666,-8.678947198979587e-15,0.0,0.0,0.0,1.5937874937662855,Recommended
SMSP,Identity,20.0,20,1.0,0.0,0.0,0.0,0.0,0.0,518.0,518.0,0.5,0.5,-8.678947198979587e-15,-2.2064737994754955,-8.678947198979587e-15,0.0,0.0,0.0,0.37429999792948365,Baseline
SMSP,WLN,20.0,20,1.0,0.0,0.0,2.976007984989624,0.027829031803044697,0.012196610944483849,518.0,518.0,0.5,0.45,4.8431666059334955,2.1939125002718134,1.7542552869168084,0.0,0.0,0.0,4.479104100028053,Recommended
SMSP,FDC,20.0,20,1.0,0.0,0.0,-4.884981308350689e-16,1.9432325121580148e-15,8.516591986815094e-16,518.0,518.0,0.5,0.5,-8.148567092375279e-15,-2.206473799475494,-8.678947198979587e-15,0.0,0.0,0.0,0.8788270584773272,Neutral
SMSP,adapt_filter,20.0,20,1.0,0.0,1.0,32.88778732964462,0.05774208937660702,0.025306586453756504,518.0,1.0,0.5,446.5,-3.7822229123377094,-3.990378475724762,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,47.5018478493439,Blocked oracle-risk
SMSP,FrFT,20.0,20,1.0,0.0,0.0,0.9243042717256966,0.01941311214525584,0.00850817152867729,518.0,518.0,0.5,0.5,-0.045576155160343766,-2.2360592483387896,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,72.95166664989665,Recommended
SMSP,qpzh,20.0,20,1.0,0.0,0.0,1.6660185703624038,0.09100544415905507,0.039884894454592826,518.0,517.0,0.5,0.55,-5.263665031623322,-5.416416744271574,-8.678947198979587e-15,0.0,0.0,0.0,1.7007833492243662,Recommended
SMSP,Identity,30.0,20,1.0,0.0,0.0,0.0,0.0,0.0,518.0,518.0,0.5,0.5,-2.8929823996598616e-15,6.088294689964977,-8.678947198979587e-15,0.0,0.0,0.0,0.3753250028239563,Baseline
